Date (YYYY-MM-DD),Followers (tens of thousands)
2022-04-01,
2022-04-02,3047.9
2022-04-03,3051.5
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,3063.8
2022-04-10,3065
2022-04-11,3066.9
2022-04-13,3068.2
2022-04-14,3069
2022-04-15,3069.9
2022-04-16,3071.4
2022-04-17,3073
2022-04-18,3074.3
2022-04-19,3075.2
2022-04-21,3076.4
2022-04-23,3077.5
2022-04-24,3078
2022-04-25,3078.6
2022-04-26,3079.2
2022-04-27,3079.9
2022-05-01,3082.8
2022-05-02,3083.3
2022-05-05,3084.5
2022-05-09,3085.8
2022-05-12,3087.8
2022-05-17,3089.4
2022-05-18,3089.5
2022-05-19,3089.6
2022-05-21,3090.2
2022-05-24,3090.6
2022-05-25,3090.9
2022-05-26,3091
2022-05-27,3091.2
2022-05-31,3091.6
2022-06-02,3091.7
2022-06-03,3091.8
2022-06-06,3092.6
2022-06-08,3092.9
2022-06-10,3093.2
2022-06-22,3095.1
2022-06-24,3095.5
2022-06-25,3095.7
2022-06-27,3096
2022-06-28,3096.2
2022-06-29,3096.4
2022-06-30,3096.6
2022-07-04,3097.1
2022-07-07,3099.3
2022-07-08,3099.8
2022-07-10,3100.5
2022-07-11,3100.7
2022-07-13,3101.1
2022-07-14,3101.3
2022-07-15,3101.6
2022-07-16,3101.7
2022-07-17,3101.8
2022-07-18,3101.9
2022-07-19,3102.2
2022-07-20,3102.4
2022-07-22,3102.9
2022-07-23,3103.5
2022-07-25,3104.3
2022-07-26,3104.2
2022-07-27,3104.4
2022-07-28,3104.5
2022-07-29,3104.6
2022-07-31,3106.2
2022-08-03,3107.1
2022-08-04,3107.6
2022-08-05,3108.1
2022-08-06,3108.3
2022-08-09,3108.9
2022-08-11,3107.9
2022-08-12,3107.7
2022-08-14,3107.9
2022-08-15,3107.9
2022-08-16,3107.8
2022-08-17,3107.9
2022-08-18,3107.9
2022-08-19,3107.9
2022-08-20,3107.8
2022-08-21,3107.9
2022-08-27,3108.2
2022-08-31,3109
2022-09-01,3109.2
2022-09-02,3109.3
